scope,unit,nrestarts_live,journal_restart_events,journal_max_counter,unit_file_state,active_state,sub_state,restart_policy,disposition
system,apparmor.service,0,0,0,enabled,active,exited,no,
system,apport-autoreport.service,0,0,0,static,inactive,dead,no,
system,apport.service,0,0,0,generated,active,exited,no,
system,apt-daily-upgrade.service,0,0,0,static,inactive,dead,no,
system,apt-daily.service,0,0,0,static,inactive,dead,no,
system,apt-news.service,0,0,0,static,inactive,dead,no,
system,blk-availability.service,0,0,0,enabled,active,exited,no,
system,bolt.service,0,0,0,static,inactive,dead,on-failure,
system,cloud-config.service,0,0,0,enabled,active,exited,no,
system,cloud-final.service,0,0,0,enabled,active,exited,no,
system,cloud-init-hotplugd.service,0,0,0,static,inactive,dead,no,
system,cloud-init-local.service,0,0,0,enabled,active,exited,no,
system,cloud-init.service,0,0,0,enabled,active,exited,no,
system,console-getty.service,0,0,0,disabled,inactive,dead,always,
system,console-setup.service,0,0,0,enabled,active,exited,no,
system,containerd.service,0,0,0,enabled,active,running,always,
system,cron.service,0,0,0,enabled,active,running,on-failure,
system,cryptdisks-early.service,0,0,0,masked,inactive,dead,no,
system,cryptdisks.service,0,0,0,masked,inactive,dead,no,
system,dbus-org.freedesktop.hostname1.service,0,0,0,static,inactive,dead,no,
system,dbus-org.freedesktop.locale1.service,0,0,0,static,inactive,dead,no,
system,dbus-org.freedesktop.login1.service,0,0,0,static,active,running,always,
system,dbus-org.freedesktop.ModemManager1.service,0,0,0,enabled,active,running,on-abort,
system,dbus-org.freedesktop.thermald.service,0,0,0,enabled,inactive,dead,on-failure,
system,dbus-org.freedesktop.timedate1.service,0,0,0,static,inactive,dead,no,
system,dbus-org.freedesktop.timesync1.service,0,0,0,enabled,active,running,always,
system,dbus.service,0,0,0,static,active,running,no,
system,debug-shell.service,0,0,0,disabled,inactive,dead,always,
system,display-bridge.service,0,0,0,enabled,active,exited,no,
system,divergence-shadow.service,0,0,0,disabled,inactive,dead,on-failure,"left running/untouched (AUR-3961 out of scope) -- money-touching, already reported separately, see AUR-3952 thread. Do not modify."
system,dm-event.service,0,0,0,static,inactive,dead,no,
system,dmesg.service,0,0,0,enabled,inactive,dead,no,
system,docker.service,0,0,0,enabled,active,running,always,
system,dpkg-db-backup.service,0,0,0,static,inactive,dead,no,
system,e2scrub_all.service,0,0,0,static,inactive,dead,no,
system,e2scrub_reap.service,0,0,0,enabled,inactive,dead,no,
system,emergency.service,0,0,0,static,inactive,dead,no,
system,esm-cache.service,0,0,0,static,inactive,dead,no,
system,fail2ban.service,0,0,0,enabled,active,running,on-failure,
system,finalrd.service,0,0,0,enabled,active,exited,no,
system,friendly-recovery.service,0,0,0,static,inactive,dead,no,
system,fstrim.service,0,0,0,static,inactive,dead,no,
system,fwupd-offline-update.service,0,0,0,static,inactive,dead,no,
